soilRaw,temperature_C,humidity_pct,soilMoisture_pct,accelX,accelY,accelZ,movementFlag,status
318,19.10,56.00,100.00,0.032,-0.014,1.012,0,OK
261,19.20,55.50,100.00,0.037,-0.013,1.013,0,OK
0,19.10,55.30,100.00,0.037,-0.010,1.013,0,OK
67,19.10,55.30,100.00,0.056,0.004,1.012,0,OK
528,19.10,55.50,60.00,0.059,-0.006,1.013,0,OK
42,19.10,55.40,100.00,0.039,-0.012,1.012,0,OK
32,19.10,55.30,100.00,0.044,-0.009,1.011,0,OK
25,19.20,55.40,100.00,0.046,-0.002,1.012,0,OK
38,19.20,55.40,100.00,0.040,-0.006,1.010,0,OK
159,19.20,55.30,100.00,0.034,-0.010,1.011,0,OK
159,19.20,55.10,100.00,0.040,-0.010,1.012,0,OK
164,19.20,55.10,100.00,0.046,-0.011,1.011,0,OK
154,19.20,55.00,100.00,0.032,-0.015,1.013,0,OK
145,19.20,54.90,100.00,0.029,-0.016,1.012,0,OK
153,19.20,54.80,100.00,0.031,-0.016,1.013,0,OK
155,19.20,54.60,100.00,0.029,-0.017,1.013,0,OK
149,19.20,54.60,100.00,0.030,-0.016,1.012,0,OK
155,19.20,54.60,100.00,0.030,-0.016,1.013,0,OK
153,19.20,54.60,100.00,0.029,-0.017,1.013,0,OK
144,19.20,54.60,100.00,0.029,-0.017,1.013,0,OK
150,19.10,54.70,100.00,0.029,-0.016,1.012,0,OK
149,19.10,54.70,100.00,0.031,-0.014,1.011,0,OK
153,19.10,54.70,100.00,0.033,-0.020,1.019,0,OK
139,19.10,54.90,100.00,0.032,-0.013,1.013,0,OK
147,19.10,54.90,100.00,0.031,-0.016,1.013,0,OK
146,19.10,54.90,100.00,0.031,-0.017,1.013,0,OK
146,19.10,54.80,100.00,0.031,-0.015,1.012,0,OK
144,19.10,54.90,100.00,0.030,-0.017,1.012,0,OK
141,19.10,54.90,100.00,0.029,-0.017,1.012,0,OK
157,19.10,54.90,100.00,0.031,-0.015,1.013,0,OK
